Order ID,Category,Platform,Quantity Sold,Selling Price,Date of Sale,Delivery Status,Delivery State
AMA-429508,Fashion,Amazon,5,642.79,2023-01-01,In Transit,State-20
AMA-265568,Fashion,Amazon,10,988.35,2023-01-02,Delivered,State-24
AMA-715756,Accessories,Amazon,6,532.45,2023-01-03,Cancelled,State-6
AMA-783599,Electronics,Amazon,9,107.55,2023-01-04,Cancelled,State-7
AMA-650462,Fashion,Amazon,6,889.30,2023-01-05,In Transit,State-9
AMA-414135,Accessories,Amazon,5,620.20,2023-01-06,Cancelled,State-9
AMA-365092,Accessories,Amazon,1,329.09,2023-01-07,Cancelled,State-21
AMA-589526,Accessories,Amazon,8,239.95,2023-01-08,Delivered,State-28
AMA-602037,Accessories,Amazon,1,270.10,2023-01-09,Cancelled,State-18
AMA-502891,Accessories,Amazon,8,110.61,2023-01-10,Cancelled,State-12
AMA-596435,Books,Amazon,2,833.77,2023-01-11,Cancelled,State-7
AMA-338246,Accessories,Amazon,7,340.03,2023-01-12,Cancelled,State-21
AMA-817990,Fashion,Amazon,3,933.65,2023-01-13,Cancelled,State-19
AMA-179477,Electronics,Amazon,1,518.30,2023-01-14,In Transit,State-25
AMA-161999,Fashion,Amazon,9,289.97,2023-01-15,Delivered,State-8
AMA-893836,Accessories,Amazon,8,298.09,2023-01-16,Cancelled,State-15
AMA-286178,Electronics,Amazon,8,575.15,2023-01-17,In Transit,State-11
AMA-731543,Electronics,Amazon,5,635.62,2023-01-18,Delivered,State-6
AMA-158265,Electronics,Amazon,5,800.29,2023-01-19,In Transit,State-3
AMA-515744,Electronics,Amazon,4,134.20,2023-01-20,In Transit,State-21
AMA-732120,Books,Amazon,8,273.55,2023-01-21,Delivered,State-17
AMA-514862,Fashion,Amazon,4,106.53,2023-01-22,Delivered,State-2
AMA-432961,Accessories,Amazon,5,417.23,2023-01-23,In Transit,State-23
AMA-846333,Books,Amazon,4,558.79,2023-01-24,Cancelled,State-8
AMA-420289,Accessories,Amazon,6,755.71,2023-01-25,Cancelled,State-14
AMA-928658,Electronics,Amazon,2,859.22,2023-01-26,Cancelled,State-2
AMA-188936,Accessories,Amazon,4,412.59,2023-01-27,Delivered,State-18
AMA-128174,Books,Amazon,9,465.09,2023-01-28,Cancelled,State-10
AMA-703018,Electronics,Amazon,8,894.51,2023-01-29,Delivered,State-23
AMA-124187,Fashion,Amazon,4,850.72,2023-01-30,Cancelled,State-17
AMA-651001,Fashion,Amazon,8,452.46,2023-01-31,In Transit,State-13
AMA-379043,Accessories,Amazon,5,596.62,2023-02-01,Cancelled,State-23
AMA-940313,Accessories,Amazon,6,305.73,2023-02-02,Delivered,State-2
AMA-488446,Electronics,Amazon,3,586.69,2023-02-03,Delivered,State-26
AMA-113428,Books,Amazon,9,368.35,2023-02-04,Delivered,State-4
AMA-539002,Electronics,Amazon,3,203.16,2023-02-05,Cancelled,State-12
